Country,Pays,ISONum,ISOAlph,Subregion,SDG,Geographic
Afghanistan,Afghanistan,4,AFG,Southern Asia,Central and Southern Asia,Asia
Albania,Albanie,8,ALB,Southern Europe,Europe and Northern America,Europe
Algeria,Algerie,12,DZA,Northern Africa,Northern Africa and Western Asia,Africa
American Samoa,Samoa Americaines,16,ASM,Polynesia,Oceania (excluding Australia and New Zealand),Oceania
Andorra,Andorre,20,AND,Southern Europe,Europe and Northern America,Europe
Angola,Angola,24,AGO,Middle Africa,Sub-Saharan Africa,Africa
Anguilla,Anguilla,660,AIA,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean
Antigua and Barbuda,Antigua-et-Barbuda,28,ATG,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean
Argentina,Argentine,32,ARG,South America,Latin America and the Caribbean,Latin America and the Caribbean
Armenia,Armenie,51,ARM,Western Asia,Northern Africa and Western Asia,Asia
Aruba,Aruba,533,ABW,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean
Australia,Australie,36,AUS,Australia/New Zealand,Australia/New Zealand,Oceania
Austria,Autriche,40,AUT,Western Europe,Europe and Northern America,Europe
Azerbaijan,Azerbaidjan,31,AZE,Western Asia,Northern Africa and Western Asia,Asia
Bahamas,Bahamas,44,BHS,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean
Bahrain,Bahrein,48,BHR,Western Asia,Northern Africa and Western Asia,Asia
Bangladesh,Bangladesh,50,BGD,Southern Asia,Central and Southern Asia,Asia
Barbados,Barbade,52,BRB,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean
Belarus,Belarus,112,BLR,Eastern Europe,Europe and Northern America,Europe
Belgium,Belgique,56,BEL,Western Europe,Europe and Northern America,Europe
Belize,Belize,84,BLZ,Central America,Latin America and the Caribbean,Latin America and the Caribbean
Benin,Benin,204,BEN,Western Africa,Sub-Saharan Africa,Africa
Bermuda,Bermudes,60,BMU,Northern America,Europe and Northern America,Northern America
Bhutan,Bhoutan,64,BTN,Southern Asia,Central and Southern Asia,Asia
Bolivia (Plurinational State of),Bolivie,68,BOL,South America,Latin America and the Caribbean,Latin America and the Caribbean
"Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba",535,BES,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean
Bosnia and Herzegovina,Bosnie-Herzégovine,70,BIH,Southern Europe,Europe and Northern America,Europe
Botswana,Botswana,72,BWA,Southern Africa,Sub-Saharan Africa,Africa
Brazil,Bresil,76,BRA,South America,Latin America and the Caribbean,Latin America and the Caribbean
British Virgin Islands,Iles Vierges Britanniques,92,VGB,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean
Brunei Darussalam,Brunei Darussalam,96,BRN,South-Eastern Asia,Eastern and South-Eastern Asia,Asia
Bulgaria,Bulgarie,100,BGR,Eastern Europe,Europe and Northern America,Europe
Burkina Faso,Burkina Faso,854,BFA,Western Africa,Sub-Saharan Africa,Africa
Burundi,Burundi,108,BDI,Eastern Africa,Sub-Saharan Africa,Africa
Cabo Verde,Cap-Vert,132,CPV,Western Africa,Sub-Saharan Africa,Africa
Cambodia,Cambodge,116,KHM,South-Eastern Asia,Eastern and South-Eastern Asia,Asia
Cameroon,Cameroun,120,CMR,Middle Africa,Sub-Saharan Africa,Africa
Canada,Canada,124,CAN,Northern America,Europe and Northern America,Northern America
Cayman Islands,Iles Caimans,136,CYM,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean
Central African Republic,"Centrafricaine, Republique",140,CAF,Middle Africa,Sub-Saharan Africa,Africa
Chad,Tchad,148,TCD,Middle Africa,Sub-Saharan Africa,Africa
Channel Islands,Channel Islands,830,CHI,Northern Europe,Europe and Northern America,Europe
Chile,Chili,152,CHL,South America,Latin America and the Caribbean,Latin America and the Caribbean
China,Chine,156,CHN,Eastern Asia,Eastern and South-Eastern Asia,Asia
"China, Hong Kong SAR",Hong-Kong,344,HKG,Eastern Asia,Eastern and South-Eastern Asia,Asia
"China, Macao SAR",Macao,446,MAC,Eastern Asia,Eastern and South-Eastern Asia,Asia
"China, Taiwan Province of China","Taiwan, Province de Chine",158,TWN,Eastern Asia,Eastern and South-Eastern Asia,Asia
Colombia,Colombie,170,COL,South America,Latin America and the Caribbean,Latin America and the Caribbean
Comoros,Comores,174,COM,Eastern Africa,Sub-Saharan Africa,Africa
Congo,Republique du Congo,178,COG,Middle Africa,Sub-Saharan Africa,Africa
Cook Islands,Iles Cook,184,COK,Polynesia,Oceania (excluding Australia and New Zealand),Oceania
Costa Rica,Costa Rica,188,CRI,Central America,Latin America and the Caribbean,Latin America and the Caribbean
Côte d'Ivoire,Cote d'Ivoire,384,CIV,Western Africa,Sub-Saharan Africa,Africa
Croatia,Croatie,191,HRV,Southern Europe,Europe and Northern America,Europe
Cuba,Cuba,192,CUB,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean
Curaçao,Curacao,531,CUW,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean
Cyprus,Chypre,196,CYP,Western Asia,Northern Africa and Western Asia,Asia
Czechia,Czechia,203,CZE,Eastern Europe,Europe and Northern America,Europe
Dem. People's Republic of Korea,"Coree, Republique Populaire Democratique de (Coree du Nord)",408,PRK,Eastern Asia,Eastern and South-Eastern Asia,Asia
Democratic Republic of the Congo,"Congo, La Republique Democratique du",180,COD,Middle Africa,Sub-Saharan Africa,Africa
Denmark,Danemark,208,DNK,Northern Europe,Europe and Northern America,Europe
Djibouti,Djibouti,262,DJI,Eastern Africa,Sub-Saharan Africa,Africa
Dominica,Dominique,212,DMA,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean
Dominican Republic,"Dominicaine, Republique",214,DOM,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean
Ecuador,Equateur,218,ECU,South America,Latin America and the Caribbean,Latin America and the Caribbean
Egypt,Egypte,818,EGY,Northern Africa,Northern Africa and Western Asia,Africa
El Salvador,El Salvador,222,SLV,Central America,Latin America and the Caribbean,Latin America and the Caribbean
Equatorial Guinea,Guinee Equatoriale,226,GNQ,Middle Africa,Sub-Saharan Africa,Africa
Eritrea,Erythree,232,ERI,Eastern Africa,Sub-Saharan Africa,Africa
Estonia,Estonie,233,EST,Northern Europe,Europe and Northern America,Europe
Eswatini,Eswatini,748,SWZ,Southern Africa,Sub-Saharan Africa,Africa
Ethiopia,Ethiopie,231,ETH,Eastern Africa,Sub-Saharan Africa,Africa
Falkland Islands (Malvinas),"Falkland, Iles (Malvinas)",238,FLK,South America,Latin America and the Caribbean,Latin America and the Caribbean
Faroe Islands,Iles Feroe,234,FRO,Northern Europe,Europe and Northern America,Europe
Fiji,Fidji,242,FJI,Melanesia,Oceania (excluding Australia and New Zealand),Oceania
Finland,Finlande,246,FIN,Northern Europe,Europe and Northern America,Europe
France,France,250,FRA,Western Europe,Europe and Northern America,Europe
French Guiana,Guyane Francaise,254,GUF,South America,Latin America and the Caribbean,Latin America and the Caribbean
French Polynesia,Polynesie Francaise,258,PYF,Polynesia,Oceania (excluding Australia and New Zealand),Oceania
Gabon,Gabon,266,GAB,Middle Africa,Sub-Saharan Africa,Africa
